project_id,check_oss_requirements,gas_fees,transaction_count,trusted_transaction_count,trusted_transaction_share,trusted_users_onboarded,daily_active_addresses,trusted_daily_active_users,monthly_active_addresses,trusted_monthly_active_users,recurring_addresses,trusted_recurring_users,power_user_addresses
SV5kdZqv7HuVnB0A9hgFHPi3lubBZ0Tiu0zZS-XMZ-A=,True,3.962314713,144822,10422,0.07196420433,170,373.012766,32.74042553,7878.02,660.8641975,3259,493,3825
CHy1KZOLAqhXO99_db3D9MHcmvVfzROzLn_3Oar-A_M=,False,0.07982094908,8313,607,0.07301816432,27,17.59574468,2.306382979,443.3333333,58.27160494,72,20,283
XyKL4912vsx41aNjTJDLDexSgi4_BcPkilZ8twJlqxI=,True,2.23622558,102280,8086,0.07905748925,214,295.7361702,26.38297872,6324.69,629.0123457,2057,254,3182
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,True,5.007992134,88315,7244,0.08202457114,105,91.26808511,19.79148936,1960.74,420,107,46,1529
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,True,4.899775934,78863,6654,0.08437416786,242,161.3957447,21.65106383,3280.62,551.9753086,1618,145,2681
G9PrA-VHfqLNLSKcm8jZ_FF4Ezts2WbqyXZofndRGIM=,False,0.5151789426,10595,899,0.08485134497,33,40.40425532,3.595744681,971.4814815,91.2345679,153,15,915
9uUkCzYhzkjCVhwMmQzAGZKSCoGDY0fHo8mksrypvZk=,True,0.1819386203,9641,828,0.08588320714,3,25.24680851,2.438297872,604.691358,59.75308642,156,13,964
HW-DsDcsApBwqtMlSu8S7BpNvtLdq5jvBrJD7kxz7pM=,True,32.83526969,66879,5803,0.08676864188,382,181.6553191,21.94893617,5101.98,608.7654321,100,40,2210
Tli7Vb3hGsndPD3Kju2N-xrhi8VSTbV-h87_GNZPAY0=,False,0.3374340363,6610,574,0.08683812405,6,28.0212766,2.468085106,794.5679012,69.25925926,6,0,385
2RLtAczfQSjDKdV6oH7AQPeq6lA7MARoqnCIi0aDQGA=,True,0.09119060986,20829,1872,0.08987469394,61,77.68510638,6.876595745,2093.58,176.7901235,187,33,912
UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,True,0.4780556206,15049,1376,0.09143464682,10,41.0212766,5.136170213,1136.42,143.3333333,37,12,469
yMULOeiMRNMKdE8bNom7IBJ8-QBLPSfNbPlva9xRQnM=,True,0.1968810122,5072,468,0.09227129338,0,11.78723404,1.034042553,232.7160494,23.95061728,137,12,259
ilCVJncB9VSleHEsrO8AfR-Wp5AzVILt14KaSjKt5vg=,True,0.4319648602,34660,3203,0.09241200231,18,99.76595745,10.21276596,2484.20,271.2345679,620,73,1511
viUcpRzCFYZUuCyABVcLzx6QMpmB07MqM0WzOi63irc=,True,0.5142207011,6595,650,0.09855951478,21,18.67234043,1.855319149,493.7037037,44.9382716,30,12,158
57ErQ5loSD9BlgJCB1nUOKthiQC6uxZ6ZESdKngaphM=,True,0.4003774443,86909,8673,0.09979403744,173,104.4808511,19.34468085,2007.65,350.8641975,744,207,721
iCKGtNOhEODQBvv6hcfWklD3P_3tOipTR10x1Yx-qkg=,True,1.202537954,11322,1141,0.1007772478,2,35.90638298,3.834042553,907.654321,92.09876543,120,11,518
EpyFRGSu1FdYCAqyEwPN75u6OvLagSubepe_9JlZpS8=,True,5.831609596,13154,1368,0.1039987836,2,25.07234043,3.046808511,487.4074074,76.79012346,261,30,1067
N9ZJMr7cubfbHQkJNvmu09gV8IqsWdjgecVckxE0oQg=,False,0.5613465712,22442,2409,0.107343374,5,30.85106383,4.434042553,737.037037,98.7654321,150,33,585
tB-dgPdkZ4WHHVl_DQHupA0FQvK9HnjZYKk03SX9eow=,True,1.103089837,1747,190,0.1087578706,0,7.021276596,0.7617021277,203.0864198,22.09876543,0,0,207
c0vlYkUjRRUSR6rViR2oroji-OWVkNcDTP4xB3VzHz0=,False,4.601151462,52594,6125,0.1164581511,26,84.8,11.41702128,1671.48,242.345679,394,52,1011
Pd1nJQpl0CJtT2ZEshvdSWhte-VGn_Vpg6z1m_t1YLA=,True,0.1961548936,3645,428,0.1174211248,6,6.268085106,0.914893617,133.2098765,19.62962963,43,11,59
sWvuYt3_OdvFB3_iAAvn9xIwB1HnbxCT1C0gdqY5Q0E=,True,3.006700885,26250,3167,0.120647619,192,67.88510638,7.761702128,1635.31,209.2592593,585,25,1132
GVboljZKY6m9JBjDCnrT0lUfAe28t1W5UFNJRIH-xfY=,True,13.05802591,762546,95062,0.1246639547,152,1745.15,164.8765957,16552.96,1009.14,10673,1101,2736
C7BwxmGX6YkIhp8TXYzUTE7qrXGoKjuP8qpRa3uVhUQ=,True,2.982614848,28230,4035,0.1429330499,20,87.42553191,15.07659574,1514.57,150.1234568,608,93,1472
bWDt_ZpCEksmGSMxE9w09b16jmMYKVSdkbvHTRQR6Jo=,True,0.2962244036,1809,263,0.1453841902,6,6.825531915,0.970212766,181.6049383,25.0617284,23,5,76
RqVUBinw3duaIfMSf1k8NTF64DNV5Ic9todEMGTRHR8=,True,3.537871832,114696,17464,0.1522633745,642,347.0382979,53.13191489,7953.33,1176.30,1869,595,2933
xrVlmpUDMCyt505oOZXdr-iJPP6PhfL7O0CbIkikFxk=,False,0.207157484,7202,1112,0.1544015551,21,25.58723404,3.765957447,630.7407407,90.24691358,92,31,280
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,True,3.707543438,75043,12324,0.1642258438,880,283.0765957,44.97021277,7601.60,1157.78,1323,441,2142
lTrJShA8bLeyWUn-DHIuT_7591FZ7PXqXscO6gVX4N0=,True,8.691136803,30752,5382,0.1750130073,238,104.3531915,20.41276596,2725.80,552.0987654,330,74,2968
gHO2CKahfi2EMVYX6Q5B6ZvLcbnTaNrCwk1lniDsEDM=,True,1.405842785,18464,3234,0.1751516464,32,60.65106383,10.29361702,1615.80,265.8024691,222,55,742
FauI5kYd6htIGa3oGEMrtDDHwGaNuhz8GtWWcNtTJjU=,False,0.1593000185,13291,2330,0.1753065985,20,32.4893617,5.838297872,781.8518519,139.382716,42,11,578
Cgc62fJkvkTHjwGZ0zupDxDV6wQme_4X8K5TTMCx-_Y=,True,0.6765408529,38686,6783,0.1753347464,104,15.86382979,6.434042553,305.4320988,97.03703704,42,27,97
PZA75rAKiN4P9poFNpkZYK-yrF1r3WgpEHmbvwPjbXk=,True,34.44484363,827252,163995,0.1982406812,8354,2246.35,483.3148936,50431.85,7702.10,25466,8887,4428
pKrsAdCqXLx_igOIoEF994iMr63rG_l4_hKjYGAVXGs=,True,0.7973156167,31995,6672,0.2085325832,72,102.7744681,23.07234043,2409.38,493.3333333,1128,365,1557
ro3oEPTVu7T0ZmqejM9JEv3jHLqfLHZTDqJVagZm6HE=,False,0.05541462732,9249,2046,0.2212131041,8,31.35744681,6.034042553,505.5555556,90.98765432,333,63,444
ECkZFb80o2ayE-_kp7gbOrOVY1hzQKOzp1edGfPLZHc=,False,1.195039956,7907,2316,0.2929050209,3,22.33617021,5.868085106,420.9876543,88.51851852,15,6,807
0vxdfbwEGwn4il9c4oGyjno56OLaf-q61GARCJvMK0U=,True,0.007613442612,1451,857,0.5906271537,113,4.293617021,2.965957447,110.1234568,75.80246914,14,13,64
